Title,Channel,Publish Date,Video URL,View Count
বাসে করে ঘুরলাম মেলবোর্ন Melbourne City Bus  Tour |Australia Travel Vlog 6,Subarna Dey,2019-12-15T08:34:51Z,https://www.youtube.com/watch?v=D-h1xWwmuQQ,125283,3719,583,0
"First Day in Lhasa, Tibet",Where's Poppy,2019-12-13T06:00:01Z,https://www.youtube.com/watch?v=3WetplXVVUo,1906917,27270,6683,0
Kreuzberg berlin-almanya 1,alidemir,2019-12-12T20:34:13Z,https://www.youtube.com/watch?v=ljfybqLXqx8,20241,209,18,0
ANNOYING TIKTOKERS IN MY LIFE | Angry Prash : Vietnam Vlog,Angry Prash,2019-12-12T11:28:02Z,https://www.youtube.com/watch?v=KhUmRUG5BCg,6595896,460602,11830,0
VLOG DA VIAGEM: CRUZEIRO- MSC FANTASIA,Nicole Prazeres,2019-12-11T23:26:04Z,https://www.youtube.com/watch?v=gNnUrZ1U7Ys,317693,14504,539,0
EP 14 Meghalaya Tour complete Travel Guide | North East India,visa2explore,2019-12-11T07:30:00Z,https://www.youtube.com/watch?v=94_Dzs-UVSU,1157644,19117,820,0
Anomaly goes to Australia (PART 1),Anomaly,2019-12-10T15:15:03Z,https://www.youtube.com/watch?v=lcENEYSpph8,2014550,65811,3331,0
দুবাই এয়ারপোর্টে ট্রানজিট | Transit At Dubai Airport | The JS Vlog # 35,Joy Shahriar,2019-12-10T11:00:12Z,https://www.youtube.com/watch?v=0dIl9lZXAfs,34276,492,46,0
വിയറ്റ്നാമിലെ ഏറ്റവും വലിയ മാർക്കറ്റ് കാണാം| Ben Thanh Market Vietnam | Harees Ameerali Vietnam,Harees Ameerali - Royal Sky Holidays,2019-12-10T07:45:23Z,https://www.youtube.com/watch?v=hrk_X8xY3qE,58146,1527,122,0
BHOPAL - MADHYA PRADESH   || VLOG 7 || RIZXTAR.,Rizxtar,2019-12-09T16:39:34Z,https://www.youtube.com/watch?v=8eVKCt9Vk0k,5488060,220713,6659,0
Flying to New York | VLOGMAS,Zoe Sugg,2019-12-09T16:00:07Z,https://www.youtube.com/watch?v=g7O5gXi_g48,916144,31978,140,0
PIHU KI SCHOOL TRIP | A short movie | Aayu and Pihu Show,Aayu and Pihu Show,2019-12-09T08:30:02Z,https://www.youtube.com/watch?v=x0a16nNwnOA,29176751,694223,0,0
"Inside Transylvania - EPIC ROMANIAN FOOD + Wild Stews in Brasov, Romania!",Mark Wiens,2019-12-08T13:00:10Z,https://www.youtube.com/watch?v=neRg60drdeE,3536219,66603,5103,0
"Our Dream White Christmas in Rovaniemi, Finnish Lapland | Santa Claus Village",Flying The Nest,2019-12-08T12:00:09Z,https://www.youtube.com/watch?v=c0ndr6rU0bY,976864,24185,987,0
Surprise Trip for MANAV to Manali ❤️ | ARSHFAM,arshfam,2019-12-08T05:27:49Z,https://www.youtube.com/watch?v=BzRyYfeUn-Q,1452713,57563,1150,0
Beautiful Portugal And Lisbon City in Telugu  || Portugal Trip,Naa Anveshana,2019-12-07T20:52:41Z,https://www.youtube.com/watch?v=o7t35UxMpjg,97110,4264,205,0
Meet Cycle Baba&#39;s World Travel Bicycle&quot;Dhanno&quot; || Ep 207,Cycle Baba,2019-12-07T01:27:43Z,https://www.youtube.com/watch?v=xz_ebYeCSqs,1179789,53895,1479,0
Kochi To Manali On Road Trip | Day - 1 | Mashura | Basheer Bashi | Suhana,Mashura Basheer,2019-12-05T22:13:57Z,https://www.youtube.com/watch?v=TUW1R_Edsbo,1001835,16262,607,0
How to START and Grow a TRAVEL YouTube Channel from ZERO— 5 Tips,Video Influencers,2019-12-05T11:30:01Z,https://www.youtube.com/watch?v=IyUTgzwRmwg,90950,3103,478,0
#VLOG #VLOGGERS #PHILIPPINES #MALAYSIANVLOGGERS,aleps,2019-12-05T08:37:32Z,https://www.youtube.com/watch?v=fdVa8DWUoi4,7826,131,3,0
renuncié y VIAJÉ A JAPÓN - travel vlog,David Elorza,2019-12-04T23:07:59Z,https://www.youtube.com/watch?v=qqydFG_5p28,101469,6309,240,0
North Korea / The Lies and Truth of Kim Jong Un / How People Live (2019),Anton is here,2019-12-04T18:35:09Z,https://www.youtube.com/watch?v=inebLA3HqPo,16302730,326136,33573,0
TOP 10 Things to do in BUDAPEST | Hungary Travel Guide in 4K,Hungry Passport,2019-12-04T17:00:14Z,https://www.youtube.com/watch?v=luDSbWpzWG8,1762679,18366,422,0
Klipper håret innan resan VLOGG,THE SWEDISH FAMILY,2019-12-04T14:00:08Z,https://www.youtube.com/watch?v=gFsVGlsQ17w,875528,7764,682,0
"I Was AMAZED, traveling SOLO as a woman in ERBIL, IRAQI KURDISTAN",Eva zu Beck,2019-12-04T13:30:04Z,https://www.youtube.com/watch?v=XRB77YEf0Ic,587523,29166,3684,0
(PHILIPPINES) FLY TO THE PH WITH US! Vlogmas Day 22 | Nicole Laeno,Nicole Laeno,2019-12-23T15:00:12Z,https://www.youtube.com/watch?v=z73HEU6mBCM,1561356,33163,0,0
BANGLADESH IS SURPRISINGLY BEAUTIFUL! (incredible floating market),Kara and Nate,2019-12-21T15:00:06Z,https://www.youtube.com/watch?v=Y9Vy_a0B5co,1538285,54473,5332,0
Travel With Chatura |අනාගතයේ කොළඹ නගරය | Port City Colombo (Vlog 221) [EN Sub],Travel With Chatura,2019-12-20T12:30:59Z,https://www.youtube.com/watch?v=JI3c4_dhDYE,725485,12171,1115,0
Jiri Dolakha Vlog || Switzerland of Nepal || Trip to Jiri || रमाइलो यात्रा जिरी दोलखा,PURVI BLUES,2019-12-12T08:50:33Z,https://www.youtube.com/watch?v=i1m6C8d6l24,1288118,22001,1392,0
FLYING TO INDIA!!! Air India Reaction by Korean Dost | Delhi Vlog,Korean Dost,2019-12-30T14:00:13Z,https://www.youtube.com/watch?v=9F_szJGSGiY,1407498,66963,3988,0
चलो देखते हैं  शिकागो शहर Chicago City Video Tour America Darshan Hindi America Tour AMERICADARSHAN,America Darshan,2019-12-29T18:04:59Z,https://www.youtube.com/watch?v=ufYArDzcNQw,48871,904,45,0
20 Essential Paris France Travel Tips,vagabrothers,2019-12-28T18:32:09Z,https://www.youtube.com/watch?v=T5Yu6CGPaqA,660350,19763,653,0
المدينة التي لا تشرق فيها الشمس أبداً - ARCTIC ❄️,Joe HaTTab,2019-12-28T11:00:12Z,https://www.youtube.com/watch?v=fIFNpMwjnJU,13853960,597262,17801,0
Harmony of the Seas Mini Ship Tour and Vlog,CruiseTipsTV,2019-12-26T18:45:00Z,https://www.youtube.com/watch?v=bmDaQMCzzmE,38614,667,50,0
The Don&#39;ts of Cruise Travel,Wolters World,2019-12-25T13:00:05Z,https://www.youtube.com/watch?v=RcB1XdJiG30,147432,3064,332,0
"LAPLAND VLOG 🎅🏼 ROOM TOUR, SNOWBALL FIGHTS &amp; EPIC SLEDGE RACE! 😊🎄PART 1",The Wingrove Family,2019-12-24T10:08:33Z,https://www.youtube.com/watch?v=MDq5eYEZ8nY,278777,3126,169,0
Hamburg Travel Guide,Attaché,2019-12-23T16:25:25Z,https://www.youtube.com/watch?v=sX7zWRswT-o,476792,2199,231,0
Travelling with Benazir to Dubai l Dubai Vlog Part One Season 2 l Cooking with Benazir,Cooking with Benazir,2019-12-23T11:15:51Z,https://www.youtube.com/watch?v=fHzknFlZvPU,35490,925,245,0
Nala Cat&#39;s Bicycle Tour into Bulgaria 🇧🇬 VLOG#16,1bike1world,2019-12-22T20:15:11Z,https://www.youtube.com/watch?v=8YtR2XM4wcM,126101,10719,650,0
Ep 39: Crusoe &amp; Daphne&#39;s First Trip to Florida — (Cute Puppy Video),Crusoe the Dachshund,2019-12-22T16:02:21Z,https://www.youtube.com/watch?v=eZdumsLoq1g,2286098,22357,1553,0
Back to Where it All Began | Colorado Trip,Jetting Julia,2019-12-21T15:00:01Z,https://www.youtube.com/watch?v=48uAJyocaYE,31167,1399,192,0
Jhal Magsi Jeep Rally | Vlog | PakWheels,PakWheels.com,2019-12-21T09:00:00Z,https://www.youtube.com/watch?v=4sNfM5HHrOE,207569,4923,162,0
Head Punjnad Tour | Punjnad River Ali Pur | Ghulam Madni GM Vlog 40,Ghulam Madni,2019-12-20T18:01:34Z,https://www.youtube.com/watch?v=VaJJmzAqZbw,77865,754,27,0
Melbourne Cricket Ground (MCG) পৃথিবীর সব থেকে বড় ক্রিকেট স্টেডিয়াম  Australia Travel Vlog 7,Subarna Dey,2019-12-16T08:09:24Z,https://www.youtube.com/watch?v=MmTR0p0iJkc,192655,7715,879,0
Best Food in Dublin Ireland - Irish Food Tour,SandyMakesSense,2019-12-15T16:00:09Z,https://www.youtube.com/watch?v=zGDq_HMXr38,77483,967,130,0
"Trip To Kuala Lumpur, Malaysia | Tawhid Afridi | Vivo | Pubg | PMCO | Vlog 70 | Badshah | Mortal",TAWHID AFRIDI,2019-12-09T16:00:16Z,https://www.youtube.com/watch?v=rESoeH6NEJs,5217153,316597,11409,0
Fiji Airways Business Class - Airbus A330-300 - Sydney to Nadi Trip Report (FJ910),Paul Stewart,2019-12-09T02:04:02Z,https://www.youtube.com/watch?v=_uTlu2hreaY,44551,960,194,0
NEW! | Carnival Sunrise Ocean View Cabin Video Tour 2019!,CRUISE WITH JOSH,2019-12-08T20:00:13Z,https://www.youtube.com/watch?v=-483z9BmEKA,27299,440,20,0
Familjen reser till Bali VLOGG,THE SWEDISH FAMILY,2019-12-07T07:00:00Z,https://www.youtube.com/watch?v=6elsrBbqnAg,1259509,9293,746,0
Three Wishes | Free BGM Background Music - Vlogs Travel Gaming | Declan DP,Declan DP,2019-12-05T19:00:11Z,https://www.youtube.com/watch?v=kyUUzz-3DnY,21084,465,57,0
Day at Dubai Museum | Tamil Vlog | DAN JR VLOGS,DAN JR VLOGS,2019-12-05T10:31:31Z,https://www.youtube.com/watch?v=2MOGtKIKQqE,50507,1873,184,0
Madrid Travel Guide,Attaché,2019-12-04T07:59:07Z,https://www.youtube.com/watch?v=TudGgrPTDZQ,499883,1880,239,0
Europe Travel Vlog / Traveling alone with a toddler / Flying with a 2 year old / Hotel room tour,BE HAPPY Kannada Vlogs,2019-12-03T04:01:23Z,https://www.youtube.com/watch?v=d2Ylhx4494M,148474,2343,87,0
What It&#39;s Like Being Chinese In MALAYSIA (Penang Travel Vlog),Jensen Tung,2019-12-02T20:00:05Z,https://www.youtube.com/watch?v=jJhv90DrYu8,114757,3556,881,0
BAECATION IN TOKYO - JAPAN | TRAVEL VLOG 9,Sherlina Nym,2019-12-02T19:16:48Z,https://www.youtube.com/watch?v=kBrEyLYvJZ0,1343470,36405,1482,0
Mere Pyare Viewers Inse Milo Umy Papa Trip Part 1 VLOG in Urdu Hindi - RKK,Ruby Ka Kitchen,2019-12-02T10:00:05Z,https://www.youtube.com/watch?v=SwiYVIiNm8Y,1912847,26309,3948,0
My Latest Mumbai Trip | Sara Gurpal,Sara Gurpal,2019-12-02T08:53:17Z,https://www.youtube.com/watch?v=yJiUuBeoiL4,91068,2611,26,0
"তৌহিদ আফ্রিদির হানিমুন বালিতে ? | Bali, Indonesia | Bachelor Trip | Tawhid Afridi | Vlog 69 | Ep 2",TAWHID AFRIDI,2019-12-02T06:00:00Z,https://www.youtube.com/watch?v=9_xAb--xmDM,1819730,120558,7014,0
10 THINGS TO DO IN SOUTH KOREA! 🇰🇷 Seoul Winter Travel Vlog | KimochiGuys,KimochiGuys,2019-12-01T07:08:16Z,https://www.youtube.com/watch?v=cDlp0bJbrkg,127754,1602,82,0
Thekkady Tribal Cooking Video: Tribal Chicken Curry + Tribal Fish Barbeque + Ragi Porridge,Food N Travel by Ebbin Jose,2019-12-28T13:30:00Z,https://www.youtube.com/watch?v=8p2mfQN6hHk,769113,12502,1677,0
BANGKOK PATTAYA WALKING  NIGHTLIFE | INDIAN FOOD SHOPPING MARKET | 4K,Travel Junkie,2019-12-06T11:52:09Z,https://www.youtube.com/watch?v=2xhHHNjr7PY,3676206,99919,4163,0
Madina city tour ( full hd ) Ziyarah of madina | Masjid-e-Nabawi |,Shahi Albums,2019-12-02T16:13:53Z,https://www.youtube.com/watch?v=zng2hpVgwj8,3067608,23776,791,0
Watch Viral Video: Tigress Sultana T 107 Chasing Canter in Ranthambore National Park #shorts,Ranthambore National Park,2019-12-02T03:15:38Z,https://www.youtube.com/watch?v=nBfwYx6f6f4,9893144,191071,1600,0
Traveling to the Happiest Country in the World!!,Yes Theory,2019-12-01T18:05:21Z,https://www.youtube.com/watch?v=Qmi-Xwq-MEc,9017242,324658,14610,0
XLINE Dubai Zipline 2021 !,TRAVEL STARS VLOG,2019-12-01T04:44:49Z,https://www.youtube.com/watch?v=VK8A5GA8aAo,443759,1854,137,0
Explore Nature Mara Lodge Tour,Essence of Mae,2019-12-01T00:36:37Z,https://www.youtube.com/watch?v=Nf3z_-cFZVQ,405,3,0,0
Kenyan Safari Travel Vlog,Essence of Mae,2019-11-30T21:33:19Z,https://www.youtube.com/watch?v=o5mCvH8SbwQ,1047,21,6,0
Pakistani Visiting Palestine and Israel | Jerusalem Vlog,WildLens by Abrar,2019-11-30T16:06:23Z,https://www.youtube.com/watch?v=S7Hkdr1CJ_Q,3355762,85168,6874,0
