Title,Channel,Publish Date,Video URL,View Count,Country
"I Was AMAZED, traveling SOLO as a woman in ERBIL, IRAQI KURDISTAN",Eva zu Beck,2019-12-04T13:30:04Z,https://www.youtube.com/watch?v=XRB77YEf0Ic,587408,Iraq
My Latest Mumbai Trip | Sara Gurpal,Sara Gurpal,2019-12-02T08:53:17Z,https://www.youtube.com/watch?v=yJiUuBeoiL4,91067,India
Watch Viral Video: Tigress Sultana T 107 Chasing Canter in Ranthambore National Park #shorts,Ranthambore National Park,2019-12-02T03:15:38Z,https://www.youtube.com/watch?v=nBfwYx6f6f4,9884371,
Traveling to the Happiest Country in the World!!,Yes Theory,2019-12-01T18:05:21Z,https://www.youtube.com/watch?v=Qmi-Xwq-MEc,9016889,
10 THINGS TO DO IN SOUTH KOREA! 🇰🇷 Seoul Winter Travel Vlog | KimochiGuys,KimochiGuys,2019-12-01T07:08:16Z,https://www.youtube.com/watch?v=cDlp0bJbrkg,127685,"Korea, South"
Pakistani Visiting Palestine and Israel | Jerusalem Vlog,WildLens by Abrar,2019-11-30T16:06:23Z,https://www.youtube.com/watch?v=S7Hkdr1CJ_Q,3354949,United States
"EXTREME Iran Street Food Tour in Tehran, Iran! 500 KG LAMB PLATE + 7 INSANE Street Food in Iran!",The Food Ranger,2019-11-30T14:00:00Z,https://www.youtube.com/watch?v=0XY2TocE-x8,11615861,United Kingdom
A2 English Listening Practice - Travel,Listening Time,2019-11-29T18:45:00Z,https://www.youtube.com/watch?v=gOMypAhVaXE,1947680,
When a Desi Goes To USA For The First Time (Vlog),Slayy Point,2019-11-29T15:19:04Z,https://www.youtube.com/watch?v=DHHHHFojz3E,28193306,Netherlands
Travel With Chatura | රුවන්වැලි මහා සෑය (Vlog 220) [EN Sub],Travel With Chatura,2019-11-28T12:00:13Z,https://www.youtube.com/watch?v=knN-uyLEmSs,713447,
Traveling Balochistan Pakistan N50,Tarar Support,2019-11-27T17:08:07Z,https://www.youtube.com/watch?v=6qszaVE-35c,3279352,
INCREDIBLE STREET FOOD in JERUSALEM (top 9 must eats),Kara and Nate,2019-11-27T15:00:05Z,https://www.youtube.com/watch?v=NkmWjZIM-Xc,913175,United Kingdom
"JERUSALEM, ISRAEL&#39;S OLD CITY (not what we expected)",Kara and Nate,2019-11-24T15:00:03Z,https://www.youtube.com/watch?v=IJZAHy4JtZo,1759752,Israel
Prague Food Tour  🇨🇿!! ULTIMATE CZECH FOOD + Street Food in Czech Republic!,Mark Wiens,2019-11-24T13:00:12Z,https://www.youtube.com/watch?v=pJR0ujoXd10,2366701,Czechia
SOLO TRAVEL to MACHU PICCHU! + (tips &amp; travel guide),Avelovinit,2019-11-24T11:45:00Z,https://www.youtube.com/watch?v=QZod5vAli7g,218363,
New York tour by Alex Gonzaga,Alex Gonzaga Official,2019-11-23T06:37:27Z,https://www.youtube.com/watch?v=XUKZz-QqcsU,5056777,United States
"Singapore Travel Vlog | Traveloka &#39;You Go, We Go&#39;",Traveloka Malaysia,2019-11-23T01:00:02Z,https://www.youtube.com/watch?v=_wwzFO40Qk0,123913,Singapore
Воронеж (прикол) - #Shorts @ANDREIKLIMKA,Андрей Климка,2019-11-22T13:51:06Z,https://www.youtube.com/watch?v=8-V1qYY3BdE,127159,
"ZEN CAPSULE HOTEL in Tokyo, Japan",Miss Mina,2019-11-21T20:16:18Z,https://www.youtube.com/watch?v=XM4LnhDuF1Q,6912832,Japan
Kolkata Tourist Places |Kolkata Tour Budget | Kolkata Tour Plan | Kolkata Tour Guide,Distance between,2019-11-21T06:02:16Z,https://www.youtube.com/watch?v=B1J2FrFYG6g,1131828,
Canon PowerShot G7 X Mark III vlogging demo,DPReview TV,2019-11-19T15:19:44Z,https://www.youtube.com/watch?v=UD8T8AAdhtE,87132,
ISRAEL First Impressions (one day in Tel Aviv),Kara and Nate,2019-11-15T15:00:10Z,https://www.youtube.com/watch?v=OdwAOnWTaqE,3387397,
Winter European Discovery tour | Contiki,Contiki,2019-11-15T10:24:52Z,https://www.youtube.com/watch?v=HrFF3LSEtYI,2022,
Business Class going to South Korea,KAYCEE & RACHEL in WONDERLAND FAMILY,2019-11-15T06:30:00Z,https://www.youtube.com/watch?v=LvkSAlJ1zOc,10685869,
SHOCKING First IMPRESSIONS! 🇸🇦ترجمة عربية INSIDE SAUDI ARABIA #1,Peter Santenello,2019-11-14T18:37:14Z,https://www.youtube.com/watch?v=1k0SvAEvM-I,7191682,
Family Trip to Dehradun | #Travel #DIML #Camping #Vlog #MyMissAnand #CookWithNisha,CookWithNisha,2019-11-14T08:30:00Z,https://www.youtube.com/watch?v=YBhpID-rR6o,7597746,
Memphis Vacation Travel Guide | Expedia,Expedia,2019-11-14T01:00:02Z,https://www.youtube.com/watch?v=1iBgfhTAXy8,357184,United States
Tiffany Young&#39;s Tour Bus Travel Routine | On the Go | Vogue,Vogue,2019-11-11T17:00:07Z,https://www.youtube.com/watch?v=gAsoe3hXgiw,1561346,Australia
Traveling to the Least Visited Country in the World,Yes Theory,2019-11-10T18:00:50Z,https://www.youtube.com/watch?v=ODuEl4oNae0,17436713,
4 Days in Belgium With Kids - Belgium Family Travel Vlog,Carmen Van Kerckhove,2019-11-10T02:00:30Z,https://www.youtube.com/watch?v=vadyyBlBfO0,188948,
Surviving 24 Hours Straight In The Bermuda Triangle,MrBeast,2019-11-09T21:00:55Z,https://www.youtube.com/watch?v=D9lVNzyhYnc,263554146,United States
Explore Finland in the Summer: Travel Vlog with John,TourRadar,2019-11-07T20:59:48Z,https://www.youtube.com/watch?v=1m3-4Bi5Kl0,50482,
What Can $10 Get in SENEGAL? (Total Chaos),Drew Binsky,2019-11-06T18:00:00Z,https://www.youtube.com/watch?v=DZUgpWVkeZ8,1462543,
شهر العسل في مالديف الفلبين 🏝,Joe HaTTab,2019-11-06T12:00:04Z,https://www.youtube.com/watch?v=N0nI2EpovhQ,9121818,
I Went to Korea for the First Time | Seoul Travel Vlog,AmandaRachLee,2019-11-05T00:11:16Z,https://www.youtube.com/watch?v=8uJSr4RuPfM,315082,Norway
"USA , CALIFORNIA VLOG",BeastBoyShub,2019-11-04T12:23:16Z,https://www.youtube.com/watch?v=OD2EMsrOW8w,9490887,Japan
Best Tiger Zone in Ranthambore National Park | #shorts #shortsfeed #ytshorts #tigerattack,Ranthambore National Park,2019-11-03T06:27:38Z,https://www.youtube.com/watch?v=2EDJxQaaBgU,13274083,Netherlands
Vlad and Nikita Family Trip to California,Vlad and Niki,2019-11-03T06:20:31Z,https://www.youtube.com/watch?v=QIM8OMEC8BU,39798212,United States
Maldives Travel Guide | TRIP PISSO Vlog #48,Trip Pisso,2019-11-03T03:46:45Z,https://www.youtube.com/watch?v=Y2kkkmJiJUQ,188989,
5-STAR RESORT TOUR IN CEBU 🌴 Philippines Travel Vlog,Miss Mina,2019-11-01T23:01:35Z,https://www.youtube.com/watch?v=CF2nKpOiFOk,2678908,United States
21 Best Places to Visit in Southeast Asia - Travel Video,touropia,2019-11-01T07:39:38Z,https://www.youtube.com/watch?v=_m8R9YRukJE,2236237,Netherlands
Running the Great Wall of China | Venus Williams Travel Vlog,Venus Williams,2019-10-29T22:02:18Z,https://www.youtube.com/watch?v=vRsSw_SurZY,240055,United States
New York City Cinematic Travel Video // Canon EOS R,Full Time Filmmaker,2019-10-29T16:42:38Z,https://www.youtube.com/watch?v=3PUgO--D1NM,354913,United States
Entering The Most American Country in Africa,Drew Binsky,2019-10-26T22:05:19Z,https://www.youtube.com/watch?v=O4q0sZDhxZc,1886571,Czechia
2ND DAY SINGAPORE TRAVEL VLOG | Zeinab Harake,Zeinab Harake,2019-10-26T09:01:04Z,https://www.youtube.com/watch?v=xhQhDhc2ZF4,1655520,Singapore
Nusa Penida | Bali Travel Guide | TRAVEL VLOG #20.2 (English Subtitles),Travel With Wife,2019-10-26T00:30:00Z,https://www.youtube.com/watch?v=57ai83YNJSg,240570,
Struggles of Travel Vlogging | Hello from Switzerland! Tanya Khanijow #TanyaTalks,Tanya Khanijow,2019-10-25T17:38:57Z,https://www.youtube.com/watch?v=NRjvpWJxuaw,193860,Turkey
"Kamiya Jani&#39;s 4-day Itinerary To Seoul, South Korea | Curly Tales",Curly Tales ,2019-10-24T14:30:01Z,https://www.youtube.com/watch?v=IOHXsl7vDow,1215413,"Korea, South"
Beginner&#39;s Guide To Boarding An International Flight - Step By Step | Curly Tales,Curly Tales ,2019-10-23T10:13:39Z,https://www.youtube.com/watch?v=4e8MROIlEnU,3600533,Burma
All You Need To Know Before Planning An EPIC Goa Trip | Tripoto,Tripoto,2019-10-22T12:30:12Z,https://www.youtube.com/watch?v=jU7ZyViNu2U,1436179,Burma
12 Days all around TURKEY!,Mark Harrison,2019-10-21T09:07:50Z,https://www.youtube.com/watch?v=yC7lI5XRiW0,3045130,
First Vlog. Travel Goals.,Arvin Christopher F. Latagan,2019-10-21T07:00:30Z,https://www.youtube.com/watch?v=iRKWnYM_xDQ,119,
Walt Disney World Vlog | Day 1 | Travel &amp; Port Orleans Riverside |  October 2019 | Adam Hattan,Adam Hattan,2019-10-20T16:00:13Z,https://www.youtube.com/watch?v=0KPXtwmNr4A,1264863,United States
"What Can $10 Get in LAGOS, NIGERIA? (Craziest City)",Drew Binsky,2019-10-19T19:00:00Z,https://www.youtube.com/watch?v=YrRLCoKmLLA,6239579,Portugal
12 Essential COSTA RICA TRAVEL Tips | WATCH BEFORE YOU GO!!!,Alexander Ayling,2019-10-19T14:15:01Z,https://www.youtube.com/watch?v=Uhe1X6OpoSo,2222602,
❤️ #travel #gaylove #lovewins #kmjs,MicHanes,2019-10-19T12:14:22Z,https://www.youtube.com/watch?v=0akYcOdRgWU,221500,
The World&#39;s Biggest Market! 🇹🇭,Dale Philip,2019-10-17T12:46:54Z,https://www.youtube.com/watch?v=NA1Eadv6Tpc,268656,
Hyderabad to Moscow Journey | Russia trip | Telugu Traveller,Telugu Traveller,2019-10-16T14:47:46Z,https://www.youtube.com/watch?v=QP5aFVbOuvA,769190,United States
FIRST IMPRESSIONS OF NORWAY (24 hours in Oslo),Kara and Nate,2019-10-15T19:00:00Z,https://www.youtube.com/watch?v=0PKBh_k1rPE,1908884,Turkey
Швейцария. Почти идеальная страна. Большой Выпуск.,Антон Птушкін,2019-10-15T08:14:27Z,https://www.youtube.com/watch?v=YtZZ-hxz9TI,48449993,
TOP 3 BIGGEST Travel Video MISTAKES! - How to Make Better Travel Videos,Sean Kitching,2019-10-14T12:42:06Z,https://www.youtube.com/watch?v=RgaObOAThXs,70323,
"Planning my next backpacking trip to South America 💃🏻Research, Budget, Packing + more",Backpacking Bananas,2019-10-14T09:20:50Z,https://www.youtube.com/watch?v=wxAL4_Ff6mo,161139,
"Neelum Valley, Azad Kashmir, Sharda, Arang Kel, Taobat travel documentary| India Pakistan Border",Mohammad Hafeez Chaudhry,2019-10-12T22:41:20Z,https://www.youtube.com/watch?v=gb7V8EUXwyo,5667554,United States
My First Trip to Scotland | Edinburgh + Glasgow VLOG,cari cakes,2019-10-12T21:00:00Z,https://www.youtube.com/watch?v=K4sJnzZLcfc,849832,United Kingdom
Cherrapunjee From Chennai | Meghalaya | 5 Days Itinerary | Tamil,Tamil Trekker,2019-10-11T15:50:35Z,https://www.youtube.com/watch?v=GBFGuV7WHnM,181384,India
Calgary | Cinematic Travel Video | Home,Chris & Jenelle,2019-10-11T05:31:58Z,https://www.youtube.com/watch?v=3I0QqVOu7bk,871,Canada
iPhone 11 Pro | Perfect Minimalist Travel Vlog Camera?,Potato Jet,2019-10-07T15:55:46Z,https://www.youtube.com/watch?v=VGNSdzZQkp4,414832,
Getting Tattooed by a 102 Year Old... WHANG OD (Philippines Travel Vlog),Lost LeBlanc,2019-10-05T12:48:15Z,https://www.youtube.com/watch?v=R_ZGwbK0aXE,1603251,India
Week one of Burn The Ships tour - vlog ep 23,for KING + COUNTRY,2019-10-04T23:50:32Z,https://www.youtube.com/watch?v=zSrEXuE8QGI,95656,Turkey
what&#39;s in my travel carry on bag + packing for japan!,AlishaMarieVlogs,2019-10-02T14:40:07Z,https://www.youtube.com/watch?v=1OkzhXeeoQw,826387,
"Guadalajara, Mexico | Cinematic Travel Video | Eternity",Chris & Jenelle,2019-09-28T01:04:10Z,https://www.youtube.com/watch?v=t1mi3PYNpyM,1136,Spain
Morocco Uncovered with Intrepid Travel,arc travels,2019-09-23T23:55:01Z,https://www.youtube.com/watch?v=I_Ku8Pu4zB0,131379,
JERUSALEM STREET FOOD!!! GIANT 24-HOUR FOOD TOUR in OLD JERUSALEM!,LivingBobby,2019-09-23T19:00:52Z,https://www.youtube.com/watch?v=ula8IgFoEts,935355,Israel
Alleppey Houseboat Trip Experience |  Kerala Allappuzha Backwaters,SugarSpiceNice India,2019-09-19T13:30:00Z,https://www.youtube.com/watch?v=DX5n2f5Vu9s,914377,India
What Kazakhstan is REALLY Like | Almaty Travel Vlog,Flying The Nest,2019-09-19T12:15:44Z,https://www.youtube.com/watch?v=8vmxYRgWt7s,401421,Kazakhstan
UKRAINIAN FOOD IS...(secret underground restaurant),Kara and Nate,2019-09-17T14:00:17Z,https://www.youtube.com/watch?v=tMzVtSVe2Gg,1321507,
(North) Macedonia First Impressions | Skopje Free Walking Tour | Travel Vlog,Dane and Stacey,2019-09-17T13:30:01Z,https://www.youtube.com/watch?v=A9IAfsGa1wg,98532,United States
Playing basketball in Senegal with Remi and friends | Jimmy Butler Travel Vlog,Jimmy Butler,2019-09-10T23:39:34Z,https://www.youtube.com/watch?v=d0hNBVn2PC0,2441733,United States
Royal Palace of Madrid | Spain | Pushkar Raj Thakur | Best Travel Destinations in Europe,Trading With PRT,2019-09-09T10:24:47Z,https://www.youtube.com/watch?v=30n9WSc8xEA,24629,Turkey
Llegué a EGIPTO y todo es IMPACTANTE | Luxor,Luisito Comunica,2019-09-08T19:45:15Z,https://www.youtube.com/watch?v=Rb9gLpdb2nc,15285664,Egypt
VIETNAM TRAVEL COST FROM INDIA | FLIGHT VISA HOSTEL INDIAN FOOD NIGHTLIFE | 4K,Travel Junkie,2019-09-06T13:50:56Z,https://www.youtube.com/watch?v=TsOqIMbWLHI,3831140,
LIECHTENSTEIN CASTLE PARTY (hanging out with the PRINCE),Kara and Nate,2019-09-05T14:00:01Z,https://www.youtube.com/watch?v=20SgSrWjm1A,755860,
The Ultimate Travel Guide - New Zealand | Curly Tales | #KamiyaJani,Curly Tales ,2019-09-05T11:58:02Z,https://www.youtube.com/watch?v=eWTk9cTx7s4,538090,
"EXPLORING PRAGUE IN A DAY | Vintage Car Ride, Beer Spa, Boat Ride | Czech Republic Vlog #1",Kritika Goel,2019-09-03T13:03:50Z,https://www.youtube.com/watch?v=aBBMYiuvhHc,285921,Czechia
IS NORTH KOREA WHAT YOU EXPECT?,Simon Wilson,2019-09-02T19:48:37Z,https://www.youtube.com/watch?v=3jwK0JHvr6Q,1355962,
Is Positano Worth the Hype?! Italy&#39;s Amalfi Coast,Lost LeBlanc,2019-08-31T12:00:01Z,https://www.youtube.com/watch?v=EAP2zOYtE1M,2371025,United Kingdom
Paris Tour | Kamiya Jani&#39;s 4-Day Itinerary | Curly Tales,Curly Tales ,2019-08-26T11:30:01Z,https://www.youtube.com/watch?v=9ET48vCw3Hg,792784,United States
We Didn’t Expect Slovakia To Be THIS Beautiful | Bojnice Castle &amp; Sulov Rocks,Flying The Nest,2019-08-25T15:36:15Z,https://www.youtube.com/watch?v=ZsHBDcqAqhs,531381,
This city was buried ALIVE - Pompeii TODAY,Lost LeBlanc,2019-08-24T12:00:01Z,https://www.youtube.com/watch?v=4jgRI3kIrz8,293365,
Switzerland Tour | Kamiya Jani&#39;s 5-Day Itinerary | Curly Tales,Curly Tales ,2019-08-24T11:30:00Z,https://www.youtube.com/watch?v=gGDsFC4xMD0,1384223,
FIRST CLASS GLACIER EXPRESS TRAIN (worth $300 for an 8 hour train ride?),Kara and Nate,2019-08-23T16:15:01Z,https://www.youtube.com/watch?v=M8MQo8flhWU,3441728,United Kingdom
Sri Lanka Street Food - COLOMBO&#39;S BEST STREET FOOD GUIDE! CRAZY Fish Market + Spicy Curry!,Luke Martin,2019-08-22T11:30:00Z,https://www.youtube.com/watch?v=0bFs7ZYUxGQ,4387401,United Kingdom
How To Make a TRAVEL VIDEO - 5 Steps to BETTER Editing,Lost LeBlanc,2019-08-21T14:45:00Z,https://www.youtube.com/watch?v=mPcGxk0tDJc,175339,
NUCLEAR BUNKERS OF ALBANIA 🇦🇱 | Tirana Travel Vlog Part 1 of 2,Dane and Stacey,2019-08-19T17:32:42Z,https://www.youtube.com/watch?v=v8ZBWATEDrU,88121,Turkey
First Thoughts on Slovakia | We Spent 48 Hours in Bratislava,Flying The Nest,2019-08-19T13:00:13Z,https://www.youtube.com/watch?v=wZTQdRgfAX8,466759,Slovakia
Kaycee &amp; Rachel&#39;s first Business Class Airplane Ride,KAYCEE & RACHEL in WONDERLAND FAMILY,2019-08-18T02:54:29Z,https://www.youtube.com/watch?v=Zi54i2jukS0,51467825,
Spending 3 Days in The World&#39;s Strangest City,Drew Binsky,2019-08-17T20:52:43Z,https://www.youtube.com/watch?v=hmIa2SGpm6s,8159273,
GIRLFRIEND&#39;S DREAM VACATION SURPRISE (Bora Bora),Trev and Chels,2019-08-16T21:00:02Z,https://www.youtube.com/watch?v=KNX_jcTaPfw,1890331,United States
12 Things Every First Timer MUST DO When Visiting NYC !,Jon Barr,2019-08-16T15:03:42Z,https://www.youtube.com/watch?v=1JJfWnAryrM,2898164,
"Top five cheapest countries to travel from India in 2019: Budget travel, cheap flights, hostel &amp;more",Tamil Trekker,2019-08-16T14:54:37Z,https://www.youtube.com/watch?v=F8WIg9LYHpU,1134040,
ALBANIA 🇦🇱Food &amp; First Impressions | Tirana Food Tour &amp; Travel Vlog,Dane and Stacey,2019-08-16T13:45:00Z,https://www.youtube.com/watch?v=N2ab7XwTNpg,296892,Colombia
How To Travel Tunisia (COMPLETE TRAVEL GUIDE),Haley Takes On the World,2019-08-15T03:18:13Z,https://www.youtube.com/watch?v=FlarfmOPCnw,598697,
SHILLONG&#39;S SPECIAL STREET FOOD | ALOO CHANNA | FOOD AND TRAVEL BLOG | YUMMY FOOD IN INDIA | LOVE IT|,Ayushi's BlogVlog,2019-08-13T16:15:28Z,https://www.youtube.com/watch?v=83X7jzdUo1U,26795,India
THE ULTIMATE BANFF + ICEFIELDS PARKWAY TRAVEL VLOG,TIM and FIN,2019-08-13T12:00:02Z,https://www.youtube.com/watch?v=9I2apS01YlA,544566,United States
12 Days 8 Countries! In SouthEast Europe :),Mark Harrison,2019-08-12T14:25:12Z,https://www.youtube.com/watch?v=yTf5-9cVN9k,212573,United States
[SEVENTEEN] GOING SEVENTEEN 2019 EP.12 SVT TRIP #1,SEVENTEEN,2019-08-12T13:10:04Z,https://www.youtube.com/watch?v=Wzf-zJSNbgc,4692026,
Cool TRAVEL GIMBALS for Smartphones | FeiyuTech Vlog Pocket &amp; Moza Mini-S,iPhoneographers,2019-08-08T20:00:04Z,https://www.youtube.com/watch?v=p8-8HRRQdMQ,93059,
CORFU 🇬🇷 Paradise In 24 Hours | Best Beaches &amp; Old Town | Greece Travel Vlog,Dane and Stacey,2019-08-03T13:30:00Z,https://www.youtube.com/watch?v=T2O2eC8SdDk,170651,Canada
Fishing around the world with Kids (30 days). Fishing &amp; Adventure Travel VLOG (The movie),Outdoor Boys,2019-08-03T11:00:03Z,https://www.youtube.com/watch?v=TyvNsiu9Hmo,8011326,
DE HEENREIS NAAR LOS ANGELES EN MYKONOS! | ONZE TRAVEL ROUTINE!,Girlys blog,2019-08-03T06:44:14Z,https://www.youtube.com/watch?v=NQ35qZx_J6U,714787,United States
I Spent 24 Hours Straight At Area 51,MrBeast,2019-08-02T21:00:01Z,https://www.youtube.com/watch?v=TOcGSwJBPMQ,190983003,
Ngọc Trinh - My Day #17 | Ăn Sập Chatuchak Với 500k (500000 VND) | Bangkok Travel,Ngọc Trinh Official,2019-08-02T10:57:45Z,https://www.youtube.com/watch?v=A4p-6pPTksU,11212834,Thailand
K2 | A HATE STORY | UKHANO | VLOG,UKHANO,2019-08-01T11:05:03Z,https://www.youtube.com/watch?v=4_lIMjd0nnI,1993469,
KUMRAT VALLEY | JAHAZ BANDA | Travel Guide|  Pakistan,Being A Traveler,2019-07-29T06:43:38Z,https://www.youtube.com/watch?v=FpMOvAiaPHQ,777129,United States
A travel guide to GANPATIPULE | Ratnagiri | Maharashtra | Unadvised Traveller,Unadvised Traveller,2019-07-27T04:11:50Z,https://www.youtube.com/watch?v=wix1DZtrzCs,566087,India
Best of Our Japan Vacation! 14 Days in One Video! Full Vacation Vlog,Jones Family Travels,2019-07-26T18:00:00Z,https://www.youtube.com/watch?v=295EgIUagVA,919427,Netherlands
Philippines - Land of enchanted Islands | Epic Travel Cinematic,Benn TK,2019-07-23T09:28:18Z,https://www.youtube.com/watch?v=qi52KQs67MY,2536738,Turkey
A Day in Barcelona | Grace&#39;s Vlog,Grace's Room,2019-07-22T08:43:05Z,https://www.youtube.com/watch?v=tyVsv0eJtms,252504,Philippines
Sosyal Hangout by Alex Gonzaga,Alex Gonzaga Official,2019-07-20T06:19:13Z,https://www.youtube.com/watch?v=4RNLbfYQjCQ,9795721,Italy
A Cartoon Vlog on my NEPAL TRIP | By Antik Mahmud,Antik Mahmud,2019-07-19T13:57:45Z,https://www.youtube.com/watch?v=vcz0606G59w,1856683,
What PLACES to visit in DELHI? | TRAVEL VLOG IV,Ivana Perkovic ,2019-07-18T15:30:01Z,https://www.youtube.com/watch?v=5XbbRDdwaGU,307691,United States
What&#39;s Inside Harvard University? | Harvard Campus Tour,Hafu Go,2019-07-16T11:45:00Z,https://www.youtube.com/watch?v=bO4RoQL9H8I,3010999,United States
Street Food in Peru - ULTIMATE 14-HOUR PERUVIAN FOOD + Market Tour in Lima!,Mark Wiens,2019-07-14T13:00:02Z,https://www.youtube.com/watch?v=Il3NjMlQ_dk,11879397,United Kingdom
Team Sunweb Diaries | Tour de France | Cees Bol,Team Picnic PostNL,2019-07-13T19:13:48Z,https://www.youtube.com/watch?v=6pPW3wyuR98,428,Chad
Take Me to Nagaland | The Modern Naga Lifestyle | Kohima Edition | Ep1 Part 2 | North East India,Tanya Khanijow,2019-07-12T15:13:55Z,https://www.youtube.com/watch?v=WLs5oU0MlXA,1764850,Philippines
48 hours of travel with kids | Flying with kids,Raising Voyagers,2019-07-11T23:38:12Z,https://www.youtube.com/watch?v=FfFT0foMRj4,133404,Turkey
Pre Trip Vlog,Northern Colorado Athletics,2019-07-11T21:38:33Z,https://www.youtube.com/watch?v=F0ZgdgAvXYs,199,
Exploring Seceda + Ortisei in the Dolomites | Italy Day 2,Adventures of A+K,2019-07-11T02:16:36Z,https://www.youtube.com/watch?v=H9Vf7kZxA6o,196745,
Real North Korea | Myths and Facts | Travelling Mantra part -1,Travelling Mantra,2019-07-10T19:20:44Z,https://www.youtube.com/watch?v=-eDqYC7rHtk,9415102,Philippines
We Slept in a AIRPLANE HOTEL?! - 7 Days in Stockholm Sweden,Lost LeBlanc,2019-07-06T18:00:04Z,https://www.youtube.com/watch?v=XaSwz0WwhAs,92308,Sweden
Travis and kids Playtime at the Beach,Travis in WONDERLAND,2019-07-06T06:45:02Z,https://www.youtube.com/watch?v=V7Iw9wNo53I,206447129,
I Tried Unique Japanese Vending Machines In Tokyo,Safiya Nygaard,2019-07-06T01:38:58Z,https://www.youtube.com/watch?v=Fr-qagv7ig0,18630607,Japan
SERBIA WILL SURPRISE YOU! Belgrade First Impressions | Serbia Travel Vlog,Dane and Stacey,2019-07-05T14:00:11Z,https://www.youtube.com/watch?v=gJ_D9aX-YEw,298227,United States
"TRAVEL FOOD VLOGGER in NORTHEAST INDIA - How to Become a Travel Food Vlogger | Jorhat, Assam, India",Davidsbeenhere,2019-05-18T05:00:00Z,https://www.youtube.com/watch?v=P72sEmO3sdE,94195,
"Travel via the BIGGEST AIRPORT IN THE WORLD, ISTANBUL | Turkey Travel Vlog",Dane and Stacey,2019-05-17T13:00:03Z,https://www.youtube.com/watch?v=HpO-sV7TSSk,125866,Turkey
SPIDER-MAN: FAR FROM HOME Travel Vlog - Mexico,Sony Pictures Entertainment,2019-05-16T23:08:05Z,https://www.youtube.com/watch?v=BOkKYRJrPvc,513275,Côte d’Ivoire
DISAPPOINTING Day in Helsinki | Finland Travel Vlog,Kara and Nate,2019-05-16T14:00:04Z,https://www.youtube.com/watch?v=GD0Vr4dn2YM,394888,Finland
